Candidatus_Bathyarchaeota_archaeon_RBG_13_38_9__GCA_001775955_1	TACK
Crenarchaeota_archaeon_13_1_40CM_3_52_17__GCA_001918745_1	TACK
2718217671	TACK
Candidatus_Bathyarchaeota_archaeon_B24__GCA_001593865_1	TACK
2263082000	TACK
Nitrosopumilus_maritimus_SCM1__GCA_000018465_1	TACK
Cenarchaeum_symbiosum_A__GCA_000200715_1	TACK
Candidatus_Nitrosopelagicus_brevis__GCA_000812185_1	TACK
Thaumarchaeota_archaeon_SCGC_AAA007_O23__GCA_000402075_1	TACK
Thaumarchaeota_archaeon_N4__GCA_000723185_1	TACK
Candidatus_Nitrosotalea_devanaterra__GCA_900065925_1	TACK
Nitrososphaera_viennensis_EN76__GCA_000698785_1	TACK
Candidatus_Nitrocosmicus_oleophilus__GCA_000802205_2	TACK
TOBG_SAT_137	TACK
UBA201	TACK
2558309099	TACK
Candidatus_Geothermarchaeota_archaeon_JdFR_13__GCA_002011075_1	TACK
2718217646	TACK
2718217643	TACK
2718217642	TACK
2718217644	TACK
Candidatus_Caldiarchaeum_subterraneum__GCA_000270325_1	TACK
Aeropyrum_camini_SY1_JCM_12091__GCA_000591035_1	TACK
Caldisphaera_lagunensis_DSM_15908__GCA_000317795_1	TACK
Acidilobus_saccharovorans_345_15__GCA_000144915_1	TACK
Pyrodictium_delaneyi__GCA_001412615_1	TACK
Fervidicoccus_fontis_Kam940__GCA_000258425_1	TACK
2718217655	TACK
Sulfolobales_archaeon_Acd1__GCA_000389735_1	TACK
2660238001	TACK
Sulfolobales_archaeon_AZ1__GCA_000565255_1	TACK
Metallosphaera_cuprina_Ar_4__GCA_000204925_1	TACK
Acidianus_manzaensis__GCA_002116695_1	TACK
2681813019	TACK
Sulfolobus_solfataricus_98_2__GCA_000024745_1	TACK
Thermogladius_calderae_1633__GCA_000264495_1	TACK
Desulfurococcus_amylolyticus_1221n__GCA_000020905_1	TACK
Staphylothermus_hellenicus_DSM_12710__GCA_000092465_1	TACK
2718217666	TACK
2718217667	TACK
Ignisphaera_aggregans_DSM_17230__GCA_000145985_1	TACK
Ignicoccus_hospitalis_KIN4_I__GCA_000017945_1	TACK
2524023237	TACK
Crenarchaeota_archaeon_SCGC_AAA471_B05__GCA_000380705_1	TACK
2504756013	TACK
Pyrobaculum_arsenaticum_DSM_13514__GCA_000016385_1	TACK
Thermoproteus_tenax_Kra_1__GCA_000253055_1	TACK
UBA166	TACK
Caldivirga_maquilingensis_IC_167__GCA_000018305_1	TACK
Vulcanisaeta_moutnovskia_768_28__GCA_000190315_1	TACK
Thermofilum_uzonense__GCA_000993805_1	TACK
Candidatus_Methanomethylicus_mesodigestum__GCA_001717035_1	TACK
Candidatus_Methanosuratus_petracarbonis__GCA_001717015_1	TACK
Baldrarchaeia_Yap30_bin4_67	Baldrarchaeia
Baldrarchaeia_GBS02	Baldrarchaeia
Baldrarchaeia_GBS03	Baldrarchaeia
Baldrarchaeia_GBS04	Baldrarchaeia
Gefionarchaeia_GBS01	Gefionarchaeia
Gerdarchaeales_MP_5_1	Gerdarchaeales
Gerdarchaeales_MP_5_2	Gerdarchaeales
Gerdarchaeales_YT_6_2	Gerdarchaeales
Gerdarchaeales_YT_6_3	Gerdarchaeales
Gerdarchaeales_Bin_120	Gerdarchaeales
Gerdarchaeales_SZ_4_bin5_60	Gerdarchaeales
Gerdarchaeales_Zod_Metabat_460	Gerdarchaeales
Gerdarchaeales_ABR14	Gerdarchaeales
Gerdarchaeales_GBS09	Gerdarchaeales
Heimdallarchaeales_HMA_bin2_96	Heimdallarchaeales
Heimdallarchaeales_E29_bin46	Heimdallarchaeales
Heimdallarchaeales_YT1_029	Heimdallarchaeales
Heimdallarchaeales_YT1_1991	Heimdallarchaeales
Heimdallarchaeales_ABR16	Heimdallarchaeales
Heimdallarchaeales_GBS11	Heimdallarchaeales
Helarchaeales_CR_Bin_097	Helarchaeales
Helarchaeales_CR_Bin_143	Helarchaeales
Helarchaeales_CR_Bin_291	Helarchaeales
Helarchaeales_MP5_1_211	Helarchaeales
Helarchaeales_YT_4001	Helarchaeales
Helarchaeales_HEL_GB_A	Helarchaeales
Helarchaeales_HEL_GB_B	Helarchaeales
Helarchaeales_Bin_186	Helarchaeales
Helarchaeales_SZ_4_bin10_384	Helarchaeales
Hermodarchaeia_WORB2	Hermodarchaeia
Hermodarchaeia_FT1_005	Hermodarchaeia
Hermodarchaeia_H02S_Hermod_68	Hermodarchaeia
Hermodarchaeia_H02M_Hermod_52	Hermodarchaeia
Hermodarchaeia_H02M_Hermod_131	Hermodarchaeia
Hermodarchaeia_H02S_Hermod_80	Hermodarchaeia
Hermodarchaeia_H02S_Hermod_124	Hermodarchaeia
Hermodarchaeia_YT1_014	Hermodarchaeia
Hermodarchaeia_YT1_028	Hermodarchaeia
Hermodarchaeia_YT2_032	Hermodarchaeia
Hodarchaeales_S146_22	Hodarchaeales
Hodarchaeales_SZ_4_bin2_246	Hodarchaeales
Hodarchaeales_B3_JM_08	Hodarchaeales
Hodarchaeales_LC_3	Hodarchaeales
Hodarchaeales_WORE3	Hodarchaeales
Hodarchaeales_FT_012	Hodarchaeales
Hodarchaeales_YT_005	Hodarchaeales
Hodarchaeales_YT_011	Hodarchaeales
Hodarchaeales_YT_019	Hodarchaeales
Hodarchaeales_YT1_039	Hodarchaeales
Hodarchaeales_YT5_056	Hodarchaeales
Jordarchaeia_GBS05	Jordarchaeia
Jordarchaeia_GBS06	Jordarchaeia
Jordarchaeia_GBS07	Jordarchaeia
Jordarchaeia_JZB50	Jordarchaeia
Jordarchaeia_QC4849	Jordarchaeia
Jordarchaeia_QZMA23B3	Jordarchaeia
Jordarchaeia_QZMA2B5	Jordarchaeia
Jordarchaeia_QZMA3B5	Jordarchaeia
Jordarchaeia_RPD1	Jordarchaeia
Jordarchaeia_RPF2	Jordarchaeia
Kariarchaeales_S012_26_esom	Kariarchaeales
Kariarchaeales_S139_21	Kariarchaeales
Kariarchaeales_LC_2	Kariarchaeales
Kariarchaeales_RS678	Kariarchaeales
Kariarchaeales_FT_008	Kariarchaeales
Lokiarchaeia_AMARA_1	Lokiarchaeia
Lokiarchaeia_AMARA_5	Lokiarchaeia
Lokiarchaeia_AMARA_5S	Lokiarchaeia
Lokiarchaeia_AMARA_7	Lokiarchaeia
Lokiarchaeia_AS27yjCOA_147	Lokiarchaeia
Lokiarchaeia_BC1	Lokiarchaeia
Lokiarchaeia_BC2	Lokiarchaeia
Lokiarchaeia_Bin_204	Lokiarchaeia
Lokiarchaeia_Bin_229	Lokiarchaeia
Lokiarchaeia_Bin_342	Lokiarchaeia
Lokiarchaeia_CSSed165cm_327R1	Lokiarchaeia
Lokiarchaeia_das_tool_concoct_64	Lokiarchaeia
Lokiarchaeia_E29_bin63	Lokiarchaeia
Lokiarchaeia_FT2_030	Lokiarchaeia
Lokiarchaeia_Hel_238_bin13	Lokiarchaeia
Lokiarchaeia_RBin_125	Lokiarchaeia
Lokiarchaeia_TEKIR_18	Lokiarchaeia
Lokiarchaeia_TEKIR_1	Lokiarchaeia
Lokiarchaeia_TEKIR_2	Lokiarchaeia
Lokiarchaeia_TEKIR_5	Lokiarchaeia
Lokiarchaeia_TEKIR_8	Lokiarchaeia
Lokiarchaeia_Yap150_bin8_212	Lokiarchaeia
Lokiarchaeia_Yap200_bin5_98	Lokiarchaeia
Lokiarchaeia_YT_039	Lokiarchaeia
Lokiarchaeia_YT1_007	Lokiarchaeia
Lokiarchaeia_YT1_053	Lokiarchaeia
Lokiarchaeia_YT1_065	Lokiarchaeia
Lokiarchaeia_YT2_002	Lokiarchaeia
Lokiarchaeia_YT2_012	Lokiarchaeia
Lokiarchaeia_YT2_053	Lokiarchaeia
Lokiarchaeia_YT5_013	Lokiarchaeia
Lokiarchaeia_YT5_1216	Lokiarchaeia
Lokiarchaeia_YT6_002	Lokiarchaeia
Lokiarchaeia_Zod_Metabat_1044	Lokiarchaeia
Lokiarchaeia_Zod_Metabat_1055	Lokiarchaeia
Lokiarchaeia_Zod_Metabat_1389	Lokiarchaeia
Lokiarchaeia_Zod_Metabat_578	Lokiarchaeia
Lokiarchaeia_ABR01	Lokiarchaeia
Lokiarchaeia_ABR02	Lokiarchaeia
Lokiarchaeia_ABR03	Lokiarchaeia
Lokiarchaeia_ABR04	Lokiarchaeia
Lokiarchaeia_ABR05	Lokiarchaeia
Lokiarchaeia_ABR06	Lokiarchaeia
Lokiarchaeia_ABR11	Lokiarchaeia
Lokiarchaeia_ABR15	Lokiarchaeia
Lokiarchaeia_CR_4	Lokiarchaeia
Lokiarchaeia_GBS14	Lokiarchaeia
Lokiarchaeia_WORB4	Lokiarchaeia
Lokiarchaeia_WORC5	Lokiarchaeia
